full_name,label,degree,neighbors_count,in_degree,out_degree,self_loops,max_call_circles
mailpile.__init__.Mailpile.Interact,55,2,2,0,2,0,0
mailpile.__init__.Mailpile.__init__,17,2,1,1,1,0,0
mailpile.__init__.Mailpile._mk_action,40,2,1,1,1,0,0
mailpile.__main__.(global),0,1,1,0,1,0,0
mailpile.__main__.main,5,2,1,1,1,0,0
mailpile.app.(global),0,3,3,0,3,0,0
mailpile.app.Interact,34,12,11,1,11,0,0
mailpile.app.InteractCommand.command,111,6,6,0,6,0,0
mailpile.app.Main,144,19,17,2,17,0,0
mailpile.app.WaitCommand.command,136,3,3,0,3,0,0
mailpile.auth.(global),0,2,2,0,2,0,0
mailpile.auth.Authenticate.RedirectBack,97,5,3,2,3,0,0
mailpile.auth.Authenticate._do_login,125,11,10,1,10,0,0
mailpile.auth.Authenticate._do_redirect,116,5,3,2,3,0,0
mailpile.auth.Authenticate._error,109,3,2,1,2,0,0
mailpile.auth.Authenticate._result,104,2,0,2,0,0,0
mailpile.auth.Authenticate._success,113,4,2,2,2,0,0
mailpile.auth.Authenticate.command,176,5,5,0,5,0,0
mailpile.auth.CheckPassword,71,3,1,2,1,0,0
mailpile.auth.DeAuthenticate.command,207,4,4,0,4,0,0
mailpile.auth.SetLoggedIn,53,7,3,4,3,0,0
mailpile.auth.SetPassphrase._lookup_key,247,4,3,1,3,0,0
mailpile.auth.SetPassphrase.command,253,10,10,0,10,0,0
mailpile.auth.UserSession.__init__,16,1,0,1,0,0,0
mailpile.auth.UserSession.is_expired,21,2,0,2,0,0,0
mailpile.auth.UserSession.update_ts,24,1,0,1,0,0,0
mailpile.auth.UserSessionCache.delete_expired,29,3,2,1,2,0,0
mailpile.auth.VerifyAndStorePassphrase,36,5,3,2,3,0,0
mailpile.command_cache.CommandCache.__init__,34,1,0,1,0,0,0
mailpile.command_cache.CommandCache.cache_result,42,2,2,0,2,0,0
mailpile.command_cache.CommandCache.dirty_set,72,2,0,2,0,0,0
mailpile.command_cache.CommandCache.get_result,56,4,2,2,2,0,0
mailpile.command_cache.CommandCache.mark_dirty,80,6,1,5,1,0,0
mailpile.command_cache.CommandCache.refresh,85,5,5,0,5,0,0
mailpile.commands.Abort.command,2533,3,3,0,3,0,0
mailpile.commands.Action,2788,13,3,10,3,0,0
mailpile.commands.BrowseOrLaunch.Browse,1436,4,2,2,2,0,0
mailpile.commands.BrowseOrLaunch.command,1447,3,3,0,3,0,0
mailpile.commands.Cached.run,2377,5,5,0,5,0,0
mailpile.commands.CatFile.command,1844,7,7,0,7,0,0
mailpile.commands.ChangeDir.command,1820,3,3,0,3,0,0
mailpile.commands.Command.__init__,226,3,2,1,2,0,0
mailpile.commands.Command._background_save,354,26,3,23,3,0,0
mailpile.commands.Command._choose_messages,373,26,5,21,5,0,0
mailpile.commands.Command._config,307,4,2,2,2,0,0
mailpile.commands.Command._create_event,500,4,2,2,2,0,0
mailpile.commands.Command._error,420,27,4,23,4,0,0
mailpile.commands.Command._finishing,517,7,5,2,5,0,0
mailpile.commands.Command._fmt_msg,478,2,0,2,0,0,0
mailpile.commands.Command._gnupg,304,11,1,10,1,0,0
mailpile.commands.Command._idx,317,64,6,58,6,0,0
mailpile.commands.Command._ignore_exception,452,17,1,16,1,0,0
mailpile.commands.Command._make_command_event,510,3,2,1,2,0,0
mailpile.commands.Command._read_file_or_data,446,1,0,1,0,0,0
mailpile.commands.Command._run,598,7,6,1,6,0,0
mailpile.commands.Command._run_sync,553,13,11,2,11,0,0
mailpile.commands.Command._sloppy_copy,483,5,2,3,2,1,1
mailpile.commands.Command._starting,472,6,2,4,2,0,0
mailpile.commands.Command._success,437,48,2,46,2,0,0
mailpile.commands.Command._update_event_state,462,6,1,5,1,0,0
mailpile.commands.Command._update_finished_event,538,7,5,2,5,0,0
mailpile.commands.Command.cache_id,260,7,5,2,5,0,0
mailpile.commands.Command.cache_requirements,270,1,0,1,0,0,0
mailpile.commands.Command.cache_result,274,8,6,2,6,1,1
mailpile.commands.Command.command,645,1,0,1,0,0,0
mailpile.commands.Command.refresh,641,2,2,0,2,0,0
mailpile.commands.Command.run,624,4,3,1,3,0,0
mailpile.commands.Command.state_as_query_args,253,4,1,3,1,0,0
mailpile.commands.Command.template_path,289,2,1,1,1,0,0
mailpile.commands.Command.view,655,2,0,2,0,0,0
mailpile.commands.ConfigAdd.command,1995,6,6,0,6,0,0
mailpile.commands.ConfigPrint._maybe_all,2099,4,2,2,2,1,1
mailpile.commands.ConfigPrint.command,2125,5,5,0,5,0,0
mailpile.commands.ConfigSet.command,1894,8,8,0,8,0,0
mailpile.commands.ConfigUnset.command,2045,5,5,0,5,0,0
mailpile.commands.ConfigureMailboxes._truthy,2206,2,1,1,1,0,0
mailpile.commands.ConfigureMailboxes.command,2210,18,18,0,18,0,0
mailpile.commands.GetCommand,2781,2,0,2,0,0,0
mailpile.commands.GpgCommand.command,1694,5,5,0,5,0,0
mailpile.commands.Help.command,2647,7,7,0,7,0,0
mailpile.commands.HelpSplash.command,2756,2,2,0,2,0,0
mailpile.commands.HelpVars.command,2719,3,3,0,3,0,0
mailpile.commands.ListDir.command,1742,9,8,1,8,0,0
mailpile.commands.Load.command,1141,4,4,0,4,0,0
mailpile.commands.Optimize.command,1416,5,5,0,5,0,0
mailpile.commands.Output.command,2411,3,3,0,3,0,0
mailpile.commands.Output.etag_data,2402,1,1,0,1,0,0
mailpile.commands.Output.get_render_mode,2408,3,0,3,0,0,0
mailpile.commands.Pipe.command,2426,13,13,0,13,0,0
mailpile.commands.ProgramStatus.command,1611,7,7,0,7,0,0
mailpile.commands.Quit.command,2493,3,3,0,3,0,0
mailpile.commands.RenderPage.command,1538,2,2,0,2,0,0
mailpile.commands.RenderPage.template_path,1531,1,1,0,1,0,0
mailpile.commands.Rescan._rescan_mailboxes,1319,16,15,1,15,0,0
mailpile.commands.Rescan._rescan_vcards,1242,3,2,1,2,0,0
mailpile.commands.Rescan._run_rescan_command,1268,4,2,2,2,0,0
mailpile.commands.Rescan.command,1167,21,21,0,21,0,0
mailpile.commands.RunWWW.command,1472,6,6,0,6,0,0
mailpile.commands.SearchResults.__init__,880,15,10,5,10,0,0
mailpile.commands.SearchResults._address,820,5,2,3,2,0,0
mailpile.commands.SearchResults._fix_width,1018,1,0,1,0,0,0
mailpile.commands.SearchResults._message,860,7,6,1,6,0,0
mailpile.commands.SearchResults._metadata,717,12,11,1,11,0,0
mailpile.commands.SearchResults._msg_addresses,793,7,4,3,4,0,0
mailpile.commands.SearchResults._msg_tags,828,2,0,2,0,0,0
mailpile.commands.SearchResults._name,665,2,1,1,1,0,0
mailpile.commands.SearchResults._names,680,3,3,0,3,0,0
mailpile.commands.SearchResults._prune_msg_tree,854,2,1,1,1,0,0
mailpile.commands.SearchResults._tag,833,3,1,2,1,0,0
mailpile.commands.SearchResults._thread,836,3,2,1,2,0,0
mailpile.commands.SearchResults.add_email,993,6,4,2,4,0,0
mailpile.commands.SearchResults.add_msg_info,968,9,7,2,7,0,0
mailpile.commands.SearchResults.as_text,1031,8,8,0,8,0,0
mailpile.commands.SearchResults.next_set,1008,2,1,1,1,0,0
mailpile.commands.SearchResults.previous_set,1013,2,1,1,1,0,0
mailpile.commands.TrustingQQQ.command,2513,1,1,0,1,0,0
mailpile.commands.WritePID.command,1516,2,2,0,2,0,0
mailpile.config.(global),0,2,2,0,2,0,0
mailpile.config.CommentedEscapedConfigParser._decode_value,221,3,1,2,1,0,0
mailpile.config.CommentedEscapedConfigParser.get,227,1,1,0,1,0,0
mailpile.config.CommentedEscapedConfigParser.items,233,10,1,9,1,0,0
mailpile.config.CommentedEscapedConfigParser.set,201,6,1,5,1,0,0
mailpile.config.ConfigDict.all_keys,1133,1,1,0,1,0,0
mailpile.config.ConfigDict.append,1137,8,4,4,4,0,0
mailpile.config.ConfigDict.reset,1123,4,2,2,2,1,1
mailpile.config.ConfigList.__createkey_and_setitem__,964,2,1,1,1,0,0
mailpile.config.ConfigList.__fixkey__,987,4,0,4,0,0,0
mailpile.config.ConfigList.__getitem__,1001,1,1,0,1,0,0
mailpile.config.ConfigList.__passkey__,981,3,2,1,2,0,0
mailpile.config.ConfigList.all_keys,1018,1,1,0,1,0,0
mailpile.config.ConfigList.append,972,4,2,2,2,0,0
mailpile.config.ConfigList.fmt_key,1004,5,3,2,3,0,6
mailpile.config.ConfigList.get,995,1,1,0,1,0,0
mailpile.config.ConfigList.iteritems,1011,59,1,58,1,0,6
mailpile.config.ConfigList.iterkeys,1008,4,1,3,1,0,6
mailpile.config.ConfigList.keys,1015,70,1,69,1,0,0
mailpile.config.ConfigList.update,1024,1,1,0,1,0,0
mailpile.config.ConfigList.values,1021,40,0,40,0,0,0
mailpile.config.ConfigManager.DEFAULT_WORKDIR,1200,1,0,1,0,0,0
mailpile.config.ConfigManager.__init__,1230,10,9,1,9,0,0
mailpile.config.ConfigManager._find_mail_source,1640,5,3,2,3,0,0
mailpile.config.ConfigManager._mailbox_info,1734,6,5,1,5,0,0
mailpile.config.ConfigManager._mkworkdir,1290,3,1,2,1,0,0
mailpile.config.ConfigManager._save_master_key,1521,4,3,1,3,0,0
mailpile.config.ConfigManager._unlocked_load,1395,25,23,2,23,1,3
mailpile.config.ConfigManager._unlocked_prepare_workers,2205,11,10,1,10,0,0
mailpile.config.ConfigManager._unlocked_save,1569,16,15,1,15,0,0
mailpile.config.ConfigManager.cache_mailbox,1781,3,2,1,2,0,0
mailpile.config.ConfigManager.clean_tempfile_dir,2122,3,2,1,2,0,0
mailpile.config.ConfigManager.create_local_mailstore,1912,4,2,2,2,0,0
mailpile.config.ConfigManager.daemons_started,2188,2,0,2,0,0,0
mailpile.config.ConfigManager.data_directory,2061,3,1,2,1,0,0
mailpile.config.ConfigManager.data_file_and_mimetype,2083,5,3,2,3,0,0
mailpile.config.ConfigManager.find_mboxids_and_sources_by_path,1806,4,2,2,2,0,0
mailpile.config.ConfigManager.flush_mbox_cache,1792,5,1,4,1,0,0
mailpile.config.ConfigManager.getLocaleDirectory,2055,2,0,2,0,0,0
mailpile.config.ConfigManager.get_index,2154,4,3,1,3,0,0
mailpile.config.ConfigManager.get_mail_source,2192,4,1,3,1,0,0
mailpile.config.ConfigManager.get_mailboxes,1653,8,4,4,4,0,0
mailpile.config.ConfigManager.get_passphrase,1944,9,8,1,8,0,0
mailpile.config.ConfigManager.get_profile,1998,10,5,5,5,0,0
mailpile.config.ConfigManager.get_route,2039,5,4,1,4,0,0
mailpile.config.ConfigManager.history_file,2098,2,0,2,0,0,0
mailpile.config.ConfigManager.interruptable_wait_for_lock,2143,2,0,2,0,0,0
mailpile.config.ConfigManager.is_editable_mailbox,1695,3,0,3,0,0,0
mailpile.config.ConfigManager.is_editable_message,1682,3,1,2,1,0,0
mailpile.config.ConfigManager.load,1367,3,1,2,1,0,3
mailpile.config.ConfigManager.load_master_key,1371,5,3,2,3,0,0
mailpile.config.ConfigManager.load_pickle,1706,7,1,6,1,0,0
mailpile.config.ConfigManager.load_plugins,1505,6,5,1,5,0,3
mailpile.config.ConfigManager.mailindex_file,2101,3,0,3,0,0,0
mailpile.config.ConfigManager.mailpile_path,2104,4,1,3,1,0,0
mailpile.config.ConfigManager.open_file,2175,4,2,2,2,0,0
mailpile.config.ConfigManager.open_local_mailbox,1933,10,4,6,4,0,0
mailpile.config.ConfigManager.open_mailbox,1860,9,7,2,7,0,0
mailpile.config.ConfigManager.open_mailbox_path,1834,9,8,1,8,0,0
mailpile.config.ConfigManager.parse_config,1296,7,5,2,5,0,0
mailpile.config.ConfigManager.postinglist_dir,2134,3,0,3,0,0,0
mailpile.config.ConfigManager.prepare_workers,2184,11,1,10,1,0,0
mailpile.config.ConfigManager.reset_rules_from_source,1499,2,1,1,1,0,0
mailpile.config.ConfigManager.save,1517,1,1,0,1,0,0
mailpile.config.ConfigManager.save_mailbox,1750,2,1,1,1,0,0
mailpile.config.ConfigManager.save_pickle,1720,7,2,5,2,0,0
mailpile.config.ConfigManager.stop_workers,2330,7,3,4,3,0,0
mailpile.config.ConfigManager.tempfile_dir,2116,6,0,6,0,0,0
mailpile.config.ConfigManager.uncache_mailbox,1754,3,1,2,1,0,0
mailpile.config.ConfigPrinter,152,3,2,1,2,1,1
mailpile.config.ConfigRule,124,4,0,4,0,0,0
mailpile.config.CriticalConfigRule,146,2,1,1,1,0,0
mailpile.config.KeyConfigRule,138,2,1,1,1,0,0
mailpile.config.MailpileJinjaLoader.__init__,1170,1,0,1,0,0,0
mailpile.config.MailpileJinjaLoader.get_source,1173,1,1,0,1,0,0
mailpile.config.PublicConfigRule,132,2,1,1,1,0,0
mailpile.config.RuledContainer,596,13,13,0,13,0,0
mailpile.config.SecurePassphraseStorage.__init__,63,7,1,6,1,0,0
mailpile.config.SecurePassphraseStorage.compare,85,3,1,2,1,0,0
mailpile.config.SecurePassphraseStorage.get_reader,97,5,1,4,1,0,0
mailpile.config.SecurePassphraseStorage.is_set,75,4,0,4,0,0,0
mailpile.config.SecurePassphraseStorage.read_byte_at,92,1,0,1,0,0,0
mailpile.config.SecurePassphraseStorage.set_passphrase,78,4,1,3,1,0,0
mailpile.config.WebRootCheck,438,2,1,1,1,0,0
mailpile.config._B36Check,391,1,1,0,1,0,0
mailpile.config._BoolCheck,246,2,2,0,2,0,0
mailpile.config._DirCheck,477,2,2,0,2,0,0
mailpile.config._DnsNameValid,328,1,0,1,0,0,0
mailpile.config._EmailCheck,533,2,1,1,1,0,0
mailpile.config._FileCheck,459,2,2,0,2,0,0
mailpile.config._GPGKeyCheck,545,3,3,0,3,0,0
mailpile.config._HostNameCheck,370,3,3,0,3,0,0
mailpile.config._HostNameValid,337,2,1,1,1,0,0
mailpile.config._MakeCheck,238,1,0,1,0,0,0
mailpile.config._NewPathCheck,495,1,1,0,1,0,0
mailpile.config._PathCheck,418,4,1,3,1,0,0
mailpile.config._RouteProtocolCheck,315,2,2,0,2,0,0
mailpile.config._SlashSlugCheck,305,1,1,0,1,0,0
mailpile.config._SlugCheck,281,4,3,1,3,0,0
mailpile.config._UrlCheck,510,1,1,0,1,0,0
mailpile.conn_brokers.(global),0,2,2,0,2,0,0
mailpile.conn_brokers.AutoHttpsConnBroker._proxy,443,1,1,0,1,0,0
mailpile.conn_brokers.AutoHttpsConnBroker._proxy_address,436,1,1,0,1,0,0
mailpile.conn_brokers.BaseConnectionBroker.__init__,175,2,0,2,0,0,0
mailpile.conn_brokers.BaseConnectionBroker._check,200,4,2,2,2,0,0
mailpile.conn_brokers.BaseConnectionBroker._describe,215,1,0,1,0,0,0
mailpile.conn_brokers.BaseConnectionBroker._get_urls,254,1,0,1,0,0,0
mailpile.conn_brokers.BaseConnectionBroker._raise_or_none,195,1,0,1,0,0,0
mailpile.conn_brokers.BaseConnectionBroker.config,188,4,1,3,1,1,1
mailpile.conn_brokers.BaseConnectionBroker.configure,181,3,0,3,0,0,0
mailpile.conn_brokers.BaseConnectionBroker.context,222,2,1,1,1,0,0
mailpile.conn_brokers.BaseConnectionBroker.create_conn_with_caps,225,3,2,1,2,0,0
mailpile.conn_brokers.BaseConnectionBroker.create_connection,231,1,1,0,1,0,0
mailpile.conn_brokers.BaseConnectionBroker.debug,218,36,0,36,0,0,0
mailpile.conn_brokers.BaseConnectionBroker.get_urls,246,2,2,0,2,0,0
mailpile.conn_brokers.BaseConnectionBroker.set_config,184,1,1,0,1,0,0
mailpile.conn_brokers.BaseConnectionBrokerProxy._create_connection,413,3,3,0,3,0,0
mailpile.conn_brokers.BaseConnectionBrokerProxy._proxy,405,1,0,1,0,0,0
mailpile.conn_brokers.BaseConnectionBrokerProxy._proxy_address,402,1,0,1,0,0,0
mailpile.conn_brokers.BaseConnectionBrokerProxy._wrap_ssl,408,2,1,1,1,0,0
mailpile.conn_brokers.BrokeredContext.__enter__,151,2,2,0,2,0,0
mailpile.conn_brokers.BrokeredContext.__exit__,165,1,1,0,1,0,0
mailpile.conn_brokers.BrokeredContext.__init__,130,2,1,1,1,0,0
mailpile.conn_brokers.BrokeredContext._reset,138,2,0,2,0,0,0
mailpile.conn_brokers.BrokeredContext._unmonkey,145,2,0,2,0,0,0
mailpile.conn_brokers.DisableUnbrokeredConnections,519,1,0,1,0,0,0
mailpile.conn_brokers.MasterBroker.__init__,468,2,1,1,1,0,0
mailpile.conn_brokers.MasterBroker.create_conn_with_caps,497,1,1,0,1,0,0
mailpile.conn_brokers.MasterBroker.get_urls,512,2,2,0,2,0,0
mailpile.conn_brokers.MasterBroker.register_broker,482,2,2,0,2,0,0
mailpile.conn_brokers.SocksConnBroker.__init__,314,1,1,0,1,0,0
mailpile.conn_brokers.SocksConnBroker._conn,334,1,1,0,1,0,0
mailpile.conn_brokers.SocksConnBroker.configure,319,2,2,0,2,0,0
mailpile.conn_brokers.TcpConnectionBroker._avoid,290,2,1,1,1,0,0
mailpile.conn_brokers.TcpConnectionBroker._conn,294,1,0,1,0,0,0
mailpile.conn_brokers.TcpConnectionBroker._create_connection,297,4,3,1,3,0,0
mailpile.conn_brokers.TcpConnectionBroker.configure,275,2,2,0,2,0,0
mailpile.conn_brokers.TorOnionBroker._avoid,387,1,1,0,1,0,0
mailpile.contrib.datadig.datadig.dataDigCommand._cell,46,6,5,1,5,0,0
mailpile.contrib.datadig.datadig.dataDigCommand._filter,38,1,0,1,0,0,0
mailpile.contrib.datadig.datadig.dataDigCommand._truthy,72,2,1,1,1,0,0
mailpile.contrib.datadig.datadig.dataDigCommand.command,75,14,14,0,14,0,0
mailpile.contrib.demos.demos.DemoVCardImporter.get_vcards,54,2,2,0,2,0,0
mailpile.contrib.demos.demos.md5sumCommand.command,104,3,3,0,3,0,0
mailpile.contrib.experiments.experiments.EmailCryptoTxf.DkgHeaderTransformIncoming,141,1,0,1,0,0,0
mailpile.contrib.experiments.experiments.EmailCryptoTxf.DkgHeaderTransformOutgoing,72,7,6,1,6,0,0
mailpile.contrib.experiments.experiments.EmailCryptoTxf.TransformIncoming,165,1,1,0,1,0,0
mailpile.contrib.experiments.experiments.EmailCryptoTxf.TransformOutgoing,150,2,2,0,2,0,0
mailpile.contrib.experiments.experiments._AddCryptoState,16,2,0,2,0,0,0
mailpile.contrib.experiments.experiments._CopyAsMultipart,22,6,5,1,5,0,0
mailpile.contrib.experiments.experiments.paragraph_id_extractor,181,2,2,0,2,0,0
mailpile.contrib.forcegrapher.forcegrapher.Graph.command,21,5,5,0,5,0,0
mailpile.contrib.gui.gui-o-matic.(global),0,2,2,0,2,0,0
mailpile.contrib.gui.gui-o-matic.Indicator.__init__,22,1,0,1,0,0,0
mailpile.contrib.gui.gui-o-matic.Indicator._add_menu_item,58,1,0,1,0,0,0
mailpile.contrib.gui.gui-o-matic.Indicator._create_menu_from_config,62,3,1,2,1,0,0
mailpile.contrib.gui.gui-o-matic.Indicator._do,26,6,4,2,4,0,0
mailpile.contrib.gui.gui-o-matic.Indicator._set_status,66,5,0,5,0,0,0
mailpile.contrib.gui.gui-o-matic.Indicator._theme_icon,55,2,0,2,0,0,0
mailpile.contrib.gui.gui-o-matic.Indicator.hide_splash_screen,97,1,0,1,0,0,0
mailpile.contrib.gui.gui-o-matic.Indicator.notify_user,100,1,0,1,0,0,0
mailpile.contrib.gui.gui-o-matic.Indicator.set_status_attention,78,1,1,0,1,0,0
mailpile.contrib.gui.gui-o-matic.Indicator.set_status_normal,72,1,1,0,1,0,0
mailpile.contrib.gui.gui-o-matic.Indicator.set_status_shutdown,81,1,1,0,1,0,0
mailpile.contrib.gui.gui-o-matic.Indicator.set_status_startup,69,2,1,1,1,0,0
mailpile.contrib.gui.gui-o-matic.Indicator.set_status_working,75,1,1,0,1,0,0
mailpile.contrib.gui.gui-o-matic.MacOSXIndicator,286,5,5,0,5,0,0
mailpile.contrib.gui.gui-o-matic.StdinWatcher.__init__,381,1,0,1,0,0,0
mailpile.contrib.gui.gui-o-matic.StdinWatcher.do,387,1,0,1,0,0,0
mailpile.contrib.gui.gui-o-matic.StdinWatcher.run,393,1,1,0,1,0,0
mailpile.contrib.gui.gui-o-matic.UnityIndicator,106,6,6,0,6,0,0
mailpile.contrib.gui.gui._real_startup,37,5,5,0,5,0,0
mailpile.contrib.gui.gui.indicator,20,2,0,2,0,0,0
mailpile.contrib.hacks.hacks.CheckMailbox.command,254,9,9,0,9,0,0
mailpile.contrib.hacks.hacks.FixIndex.command,31,6,6,0,6,0,0
mailpile.contrib.hacks.hacks.Hacks.command,22,1,1,0,1,0,0
mailpile.contrib.hacks.hacks.Http.command,185,6,6,0,6,0,0
mailpile.contrib.hacks.hacks.PyCLI.command,68,5,5,0,5,0,0
mailpile.contrib.hacks.hacks.ViewHeaderPrint._explain,162,6,5,1,5,0,0
mailpile.contrib.hacks.hacks.ViewHeaderPrint.command,169,2,2,0,2,0,0
mailpile.contrib.hacks.hacks.ViewKeywords._explain,143,6,5,1,5,0,0
mailpile.contrib.hacks.hacks.ViewKeywords.command,153,2,2,0,2,0,0
mailpile.contrib.hacks.hacks.ViewMetadata._explain,99,5,4,1,4,0,0
mailpile.contrib.hacks.hacks.ViewMetadata.command,134,2,2,0,2,0,0
mailpile.contrib.i18nhelper.i18nhelper.I18NRecent.command,21,1,1,0,1,0,0
mailpile.crypto.gpgi.(global),0,1,1,0,1,0,0
mailpile.crypto.gpgi.GetKeys,997,11,9,2,9,0,0
mailpile.crypto.gpgi.GnuPG.__init__,421,15,1,14,1,0,0
mailpile.crypto.gpgi.GnuPG._debug_all,468,1,1,0,1,0,0
mailpile.crypto.gpgi.GnuPG._escape_hex_keyid_term,954,2,0,2,0,0,0
mailpile.crypto.gpgi.GnuPG._parse_import,691,2,0,2,0,0,0
mailpile.crypto.gpgi.GnuPG._reap_threads,591,2,1,1,1,0,0
mailpile.crypto.gpgi.GnuPG.address_to_keys,945,4,2,2,2,0,0
mailpile.crypto.gpgi.GnuPG.chat,970,2,1,1,1,0,0
mailpile.crypto.gpgi.GnuPG.decrypt,745,6,3,3,3,0,0
mailpile.crypto.gpgi.GnuPG.encrypt,819,7,3,4,3,0,0
