Kind,understandname,file,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,smell
Function,"tornado.auth._oauth_signature(consumer_token,method,url,parameters,token)",D:\thesis2\9 project\tornado\tornado\tornado\auth.py,22.0,4.0,15.0,8.0,14.0,3.0,1.0,0.0,14.0,8.0,13.0,2.0,2.0,2.0,1.0,0.0,0.2,5,5,1022,3,no
Function,"tornado.httpclient._RequestProxy.__init__(self,request,defaults)",D:\thesis2\9 project\tornado\tornado\tornado\httpclient.py,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,616,3,no
Function,"tornado.ioloop.PollIOLoop.set_blocking_signal_threshold(self,seconds,action)",D:\thesis2\9 project\tornado\tornado\tornado\ioloop.py,9.0,0.0,9.0,1.0,8.0,0.0,3.0,0.0,7.0,1.0,6.0,4.0,4.0,4.0,1.0,1.0,0.0,3,3,719,3,no
Function,"tornado.stack_context.StackContext.exit(self,type,value,traceback)",D:\thesis2\9 project\tornado\tornado\tornado\stack_context.py,3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,122,4,no
Function,"tornado.testing.AsyncTestCase._handle_exception(self,typ,value,tb)",D:\thesis2\9 project\tornado\tornado\tornado\testing.py,8.0,0.0,8.0,1.0,7.0,0.0,2.0,0.0,6.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,4,4,243,4,no
Function,"tornado.web.RequestHandler.reverse_url(self,name,args)",D:\thesis2\9 project\tornado\tornado\tornado\web.py,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,3,2,1296,3,no
Function,"tornado.web.create_signed_value(secret,name,value,version,clock,key_version)",D:\thesis2\9 project\tornado\tornado\tornado\web.py,47.0,3.0,30.0,6.0,27.0,14.0,16.0,1.0,21.0,5.0,19.0,6.0,6.0,7.0,3.0,2.0,0.47,6,6,2981,3,no
Function,"tornado.platform.caresresolver.CaresResolver._sock_state_cb(self,fd,readable,writable)",D:\thesis2\9 project\tornado\tornado\tornado\platform\caresresolver.py,12.0,0.0,12.0,2.0,11.0,0.0,3.0,0.0,9.0,2.0,8.0,5.0,5.0,5.0,1.0,1.0,0.0,4,4,30,4,no
Function,"tornado.test.httpclient_test.HTTPClientCommonTestCase.test_header_callback_stack_context.error_handler(typ,value,tb)",D:\thesis2\9 project\tornado\tornado\tornado\test\httpclient_test.py,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,334,3,no
Function,"tornado.test.tcpclient_test.TCPClientTest.do_test_connect(self,family,host)",D:\thesis2\9 project\tornado\tornado\tornado\test\tcpclient_test.py,7.0,0.0,7.0,4.0,6.0,0.0,1.0,0.0,7.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,3,3,83,3,no
Function,"tornado.test.wsgi_test.WSGIContainerTest.wsgi_app(self,environ,start_response)",D:\thesis2\9 project\tornado\tornado\tornado\test\wsgi_test.py,5.0,0.0,5.0,3.0,4.0,0.0,1.0,0.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,13,3,no
Function,"benchmarks.linalg.Norm.time_inf_norm(self,size,contig,module)",D:\thesis2\9 project\scipy\scipy\benchmarks\benchmarks\linalg.py,5.0,0.0,5.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,4,4,95,4,no
Function,"benchmarks.sparse_linalg_lobpcg.Bench.setup_mikota(self,n,solver)",D:\thesis2\9 project\scipy\scipy\benchmarks\benchmarks\sparse_linalg_lobpcg.py,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,78,3,no
Function,"test_hierarchy.TestIsValidLinkage.check_is_valid_linkage_various_size(self,nrow,ncol,valid)",D:\thesis2\9 project\scipy\scipy\scipy\cluster\tests\test_hierarchy.py,8.0,0.0,7.0,2.0,6.0,1.0,2.0,0.0,6.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,0.14,4,4,292,4,no
Function,"scipy.integrate.quadrature.romberg(function,a,b,args,tol,rtol,show,divmax,vec_func)",D:\thesis2\9 project\scipy\scipy\scipy\integrate\quadrature.py,115.0,16.0,31.0,13.0,29.0,68.0,20.0,1.0,28.0,12.0,27.0,6.0,6.0,8.0,4.0,2.0,2.19,9,9,589,3,no
Function,"test_integrate.jac2(t,x,omega1,omega2)",D:\thesis2\9 project\scipy\scipy\scipy\integrate\tests\test_integrate.py,4.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,510,4,yes
Function,"scipy.interpolate.fitpack2.InterpolatedUnivariateSpline.__init__(self,x,y,w,bbox,k,ext,check_finite)",D:\thesis2\9 project\scipy\scipy\scipy\interpolate\fitpack2.py,17.0,3.0,13.0,4.0,11.0,1.0,6.0,1.0,10.0,3.0,9.0,4.0,4.0,6.0,4.0,2.0,0.08,8,8,583,3,no
Function,"scipy.interpolate.interpolate._find_smoothest(xk,yk,order,conds,B)",D:\thesis2\9 project\scipy\scipy\scipy\interpolate\interpolate.py,25.0,0.0,20.0,12.0,19.0,5.0,2.0,0.0,20.0,12.0,19.0,2.0,2.0,2.0,1.0,1.0,0.25,5,5,1941,3,no
Function,"scipy.interpolate.rbf.Rbf.__init__(self,args,kwargs)",D:\thesis2\9 project\scipy\scipy\scipy\interpolate\rbf.py,30.0,5.0,21.0,14.0,20.0,4.0,8.0,1.0,20.0,14.0,19.0,4.0,4.0,4.0,1.0,1.0,0.19,3,1,185,3,no
Function,"scipy.io.arff.arffread.print_attribute(name,tp,data)",D:\thesis2\9 project\scipy\scipy\scipy\io\arff\arffread.py,12.0,0.0,12.0,4.0,11.0,0.0,3.0,0.0,11.0,4.0,10.0,3.0,3.0,5.0,1.0,2.0,0.0,3,3,671,3,no
Function,"scipy.linalg.interpolative.reconstruct_skel_matrix(A,k,idx)",D:\thesis2\9 project\scipy\scipy\scipy\linalg\interpolative.py,38.0,8.0,5.0,1.0,4.0,25.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,3,3,667,3,no
Function,"scipy.linalg._interpolative_backend.idz_id2svd(B,idx,proj)",D:\thesis2\9 project\scipy\scipy\scipy\linalg\_interpolative_backend.py,29.0,2.0,6.0,2.0,5.0,21.0,2.0,0.0,6.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,3.5,3,3,1101,3,no
Function,"test_special_matrices.TestPascal.check_case(self,n,sym,low)",D:\thesis2\9 project\scipy\scipy\scipy\linalg\tests\test_special_matrices.py,7.0,0.0,7.0,1.0,6.0,0.0,1.0,0.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,506,4,no
Function,"scipy.optimize.linesearch._quadmin(a,fa,fpa,b,fb)",D:\thesis2\9 project\scipy\scipy\scipy\optimize\linesearch.py,19.0,1.0,13.0,6.0,12.0,5.0,3.0,0.0,13.0,6.0,12.0,3.0,3.0,3.0,3.0,2.0,0.38,5,5,453,5,yes
Function,"scipy.optimize.optimize.check_grad(func,grad,x0,args,kwargs)",D:\thesis2\9 project\scipy\scipy\scipy\optimize\optimize.py,47.0,5.0,7.0,2.0,6.0,35.0,2.0,0.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,5.0,5,3,621,5,yes
Function,"scipy.optimize._linprog._pivot_row(T,pivcol,phase,tol)",D:\thesis2\9 project\scipy\scipy\scipy\optimize\_linprog.py,37.0,2.0,11.0,5.0,10.0,24.0,4.0,1.0,10.0,5.0,9.0,3.0,3.0,3.0,1.0,1.0,2.18,4,4,173,3,no
Function,"test_optimize.CheckOptimize.hessp(self,x,p)",D:\thesis2\9 project\scipy\scipy\scipy\optimize\tests\test_optimize.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,87,3,no
Function,"scipy.signal.fir_filter_design.firwin2(numtaps,freq,gain,nfreqs,window,nyq,antisymmetric)",D:\thesis2\9 project\scipy\scipy\scipy\signal\fir_filter_design.py,176.0,30.0,57.0,15.0,54.0,89.0,24576.0,4.0,46.0,14.0,44.0,18.0,18.0,25.0,9.0,2.0,1.56,7,7,311,3,no
Function,"test_ltisys.TestTransferFunction._compare_systems(self,sys1,sys2)",D:\thesis2\9 project\scipy\scipy\scipy\signal\tests\test_ltisys.py,4.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.33,3,3,725,3,no
Function,"scipy.sparse.csr.csr_matrix._get_submatrix(self,row_slice,col_slice)",D:\thesis2\9 project\scipy\scipy\scipy\sparse\csr.py,46.0,9.0,36.0,9.0,33.0,1.0,1.0,0.0,28.0,9.0,25.0,1.0,1.0,1.0,1.0,0.0,0.03,3,3,383,3,no
Function,"test_linsolve.TestSplu.test_splu_smoketest.check(A,b,x,msg)",D:\thesis2\9 project\scipy\scipy\scipy\sparse\linalg\dsolve\tests\test_linsolve.py,4.0,0.0,4.0,3.0,3.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,290,3,no
Function,"test_base._TestCommon.test_setdiag.check_setdiag(a,b,k)",D:\thesis2\9 project\scipy\scipy\scipy\sparse\tests\test_base.py,21.0,2.0,15.0,5.0,14.0,4.0,5.0,1.0,13.0,5.0,12.0,4.0,4.0,4.0,1.0,2.0,0.27,3,3,645,3,no
Function,"scipy.spatial._plotutils._held_figure(func,obj,ax,kw)",D:\thesis2\9 project\scipy\scipy\scipy\spatial\_plotutils.py,13.0,2.0,11.0,4.0,9.0,0.0,2.0,0.0,10.0,4.0,8.0,2.0,2.0,2.0,1.0,1.0,0.0,4,3,9,3,no
Function,"test_basic.TestBessel.iv_series(self,v,z,n)",D:\thesis2\9 project\scipy\scipy\scipy\special\tests\test_basic.py,7.0,0.0,7.0,4.0,6.0,0.0,1.0,0.0,7.0,4.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,2450,3,no
Function,"test_ellip_harm.test_ellip_harm.E24(h2,k2,s)",D:\thesis2\9 project\scipy\scipy\scipy\special\tests\test_ellip_harm.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,211,3,no
Function,"test_mpmath.TestSystematic.test_legenq.legenq(n,m,z)",D:\thesis2\9 project\scipy\scipy\scipy\special\tests\test_mpmath.py,5.0,0.0,4.0,1.0,3.0,1.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.25,3,3,1453,3,no
Function,"scipy.stats.mstats_extras.hdquantiles._hd_1D(data,prob,var)",D:\thesis2\9 project\scipy\scipy\scipy\stats\mstats_extras.py,29.0,2.0,23.0,10.0,22.0,4.0,6.0,1.0,23.0,10.0,22.0,5.0,5.0,5.0,4.0,2.0,0.17,3,3,58,3,no
Function,"scipy.stats._continuous_distns.beta_gen._ppf(self,q,a,b)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,387,4,no
Function,"scipy.stats._continuous_distns.dgamma_gen._sf(self,x,a)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,914,3,no
Function,"scipy.stats._continuous_distns.f_gen._sf(self,x,dfn,dfd)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4,4,1330,4,no
Function,"scipy.stats._continuous_distns.genextreme_gen._munp(self,n,c)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,6.0,0.0,6.0,3.0,5.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,1775,3,no
Function,"scipy.stats._continuous_distns.invweibull_gen._cdf(self,x,c)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,2567,3,no
Function,"scipy.stats._continuous_distns.ncx2_gen._rvs(self,df,nc)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,3202,3,no
Function,"scipy.stats._continuous_distns.lomax_gen._logsf(self,x,c)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,3528,3,no
Function,"scipy.stats._continuous_distns.rice_gen._pdf(self,x,b)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,6.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3,3,3964,3,no
Function,"scipy.stats._continuous_distns.gennorm_gen._sf(self,x,beta)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_continuous_distns.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,4474,3,no
Function,"scipy.stats._discrete_distns.geom_gen._logpmf(self,k,p)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_discrete_distns.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,224,3,no
Function,"scipy.stats._discrete_distns.zipf_gen._pmf(self,k,a)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_discrete_distns.py,3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,670,3,no
Function,"scipy.stats._distn_infrastructure.rv_generic.std(self,args,kwds)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_distn_infrastructure.py,23.0,3.0,4.0,2.0,3.0,16.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,3,1,1196,3,no
Function,"scipy.stats._distn_infrastructure._drv_nonzero(self,k,args)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_distn_infrastructure.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,2,2353,3,no
Function,"scipy.stats._multivariate.wishart_gen._mode(self,dim,df,scale)",D:\thesis2\9 project\scipy\scipy\scipy\stats\_multivariate.py,19.0,2.0,6.0,2.0,5.0,11.0,2.0,0.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.83,4,4,1327,4,no
Function,"test_continuous_basic.check_sf_logsf(distfn,args,msg)",D:\thesis2\9 project\scipy\scipy\scipy\stats\tests\test_continuous_basic.py,9.0,0.0,8.0,5.0,7.0,1.0,1.0,0.0,8.0,5.0,7.0,1.0,1.0,1.0,1.0,0.0,0.12,3,3,307,3,no
Function,"test_kdeoth._kde_subclass3.__init__(self,dataset,covariance)",D:\thesis2\9 project\scipy\scipy\scipy\stats\tests\test_kdeoth.py,3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,85,3,no
Function,"scipy.weave.bytecodecompiler.ByteCodeMeaning.LOAD_NAME(self,pc,namei)",D:\thesis2\9 project\scipy\scipy\scipy\weave\bytecodecompiler.py,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,3,3,555,3,no
Function,"scipy.weave.bytecodecompiler.ByteCodeMeaning.CALL_FUNCTION_KW(self,pc,argc)",D:\thesis2\9 project\scipy\scipy\scipy\weave\bytecodecompiler.py,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,3,3,679,3,no
Function,"scipy.weave.c_spec.common_base_converter.type_spec(self,name,value)",D:\thesis2\9 project\scipy\scipy\scipy\weave\c_spec.py,6.0,0.0,5.0,2.0,4.0,1.0,1.0,0.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.2,3,3,136,3,no
Function,"test_scxx_object.TestObjectSetAttr.generic_existing(self,code,desired)",D:\thesis2\9 project\scipy\scipy\scipy\weave\tests\test_scxx_object.py,6.0,0.0,6.0,3.0,5.0,0.0,1.0,0.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,301,3,no
Function,"pavement.prepare_nsis_script(bdir,pyver,numver)",D:\thesis2\9 project\scipy\scipy\tools\win32\build_scripts\pavement.py,13.0,2.0,11.0,7.0,10.0,0.0,2.0,0.0,10.0,7.0,9.0,2.0,2.0,2.0,1.0,1.0,0.0,3,3,145,3,no
Function,"ansible.callbacks.PlaybookCallbacks.on_notify(self,host,handler)",D:\thesis2\9 project\ansible\ansible\lib\ansible\callbacks.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,602,3,no
Function,"ansible.callback_plugins.noop.CallbackModule.playbook_on_task_start(self,name,is_conditional)",D:\thesis2\9 project\ansible\ansible\lib\ansible\callback_plugins\noop.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,74,3,no
Function,"ansible.module_utils.facts.GenericBsdIfconfigNetwork.parse_nd6_line(self,words,current_if,ips)",D:\thesis2\9 project\ansible\ansible\lib\ansible\module_utils\facts.py,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,4,4,2039,4,no
Function,"ansible.playbook.PlayBook._get_playbook_vars(self,play_ds,existing_vars)",D:\thesis2\9 project\ansible\ansible\lib\ansible\playbook\__init__.py,13.0,0.0,9.0,3.0,8.0,4.0,5.0,1.0,8.0,3.0,7.0,5.0,5.0,5.0,1.0,3.0,0.44,3,3,188,3,no
Function,"ansible.runner.action_plugins.win_copy.ActionModule._remove_tempfile_if_content_defined(self,content,content_tempfile)",D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\action_plugins\win_copy.py,3.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,3,3,367,3,no
Function,"ansible.runner.connection_plugins.paramiko_ssh.Connection.put_file(self,in_path,out_path)",D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\connection_plugins\paramiko_ssh.py,17.0,4.0,12.0,2.0,11.0,1.0,8.0,1.0,12.0,1.0,11.0,4.0,4.0,4.0,4.0,1.0,0.08,3,3,279,3,no
Function,"ansible.runner.lookup_plugins.env.LookupModule.run(self,terms,inject,kwargs)",D:\thesis2\9 project\ansible\ansible\lib\ansible\runner\lookup_plugins\env.py,15.0,3.0,12.0,5.0,11.0,0.0,8.0,1.0,12.0,4.0,11.0,4.0,4.0,4.0,1.0,1.0,0.0,4,3,27,3,no
Function,"ansible.utils.plugins.PluginLoader.get(self,name,args,kwargs)",D:\thesis2\9 project\ansible\ansible\lib\ansible\utils\plugins.py,11.0,1.0,9.0,2.0,8.0,1.0,6.0,1.0,9.0,2.0,8.0,4.0,4.0,4.0,1.0,1.0,0.11,4,2,209,4,no
Function,"hipchat.CallbackModule.runner_on_unreachable(self,host,res)",D:\thesis2\9 project\ansible\ansible\plugins\callbacks\hipchat.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,97,3,no
Function,"osx_say.CallbackModule.playbook_on_task_start(self,name,is_conditional)",D:\thesis2\9 project\ansible\ansible\plugins\callbacks\osx_say.py,5.0,0.0,5.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,3,3,82,3,no
Function,"digital_ocean.DigitalOceanInventory.build_index(self,source_seq,key_from,key_to,use_slug)",D:\thesis2\9 project\ansible\ansible\plugins\inventory\digital_ocean.py,7.0,0.0,7.0,5.0,6.0,0.0,2.0,0.0,7.0,5.0,6.0,2.0,2.0,5.0,1.0,1.0,0.0,5,5,329,4,no
Function,"TestModuleUtilsDatabase.TestQuotePgIdentifier.check_valid_quotes(self,identifier,quoted_identifier)",D:\thesis2\9 project\ansible\ansible\test\units\TestModuleUtilsDatabase.py,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,3,90,3,no
Function,"ansible.module_utils.basic.AnsibleModule.set_mode_if_different(self,path,mode,changed)",D:\thesis2\9 project\ansible\ansible\v2\ansible\module_utils\basic.py,46.0,6.0,38.0,5.0,37.0,4.0,57.0,2.0,33.0,4.0,32.0,13.0,13.0,14.0,8.0,3.0,0.11,4,4,633,4,no
Function,"ansible.module_utils.rax.rax_find_network(module,rax_module,network)",D:\thesis2\9 project\ansible\ansible\v2\ansible\module_utils\rax.py,20.0,0.0,20.0,3.0,19.0,0.0,5.0,1.0,16.0,3.0,15.0,5.0,5.0,5.0,5.0,3.0,0.0,3,3,131,3,no
Function,"ansible.playbook.conditional.Conditional._validate_when(self,attr,name,value)",D:\thesis2\9 project\ansible\ansible\v2\ansible\playbook\conditional.py,3.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,4,4,46,4,no
